answer_id,question_id,question_version,answer_version,text,default_order,answer_kind,exclusive,status,expert_notes,created_at,updated_at
a_baseline_natural_pace_001_quick_changeable_move_rapidly,q_baseline_natural_pace_001,1,1,Quick and changeable; I often move rapidly between things.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_natural_pace_001_purposeful_efficient_move_clear,q_baseline_natural_pace_001,1,1,Purposeful and efficient; I tend to move with a clear objective.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_natural_pace_001_steady_unhurried_prefer_move,q_baseline_natural_pace_001,1,1,Steady and unhurried; I prefer to move at a consistent pace.,3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_natural_pace_001_unsure_or_none_fit,q_baseline_natural_pace_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_energy_pattern_001_energy_comes_bursts_change,q_baseline_energy_pattern_001,1,1,My energy comes in bursts and can change quickly.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_energy_pattern_001_energy_strong_focused_but,q_baseline_energy_pattern_001,1,1,"My energy is strong and focused, but I may push too hard.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_energy_pattern_001_energy_builds_gradually_last,q_baseline_energy_pattern_001,1,1,My energy builds gradually and tends to last once I get going.,3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_energy_pattern_001_unsure_or_none_fit,q_baseline_energy_pattern_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_routine_preference_001_enjoy_variety_but_routines,q_baseline_routine_preference_001,1,1,"I enjoy variety, but my routines can be inconsistent.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_routine_preference_001_like_organized_routines_help,q_baseline_routine_preference_001,1,1,I like organized routines that help me accomplish goals.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_routine_preference_001_prefer_familiar_dependable_routines,q_baseline_routine_preference_001,1,1,"I prefer familiar, dependable routines and dislike sudden changes.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_routine_preference_001_unsure_or_none_fit,q_baseline_routine_preference_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_decision_style_001_decide_quickly_but_change,q_baseline_decision_style_001,1,1,I decide quickly but may change my mind afterward.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_decision_style_001_evaluate_options_make_firm,q_baseline_decision_style_001,1,1,I evaluate the options and make a firm decision.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_decision_style_001_take_time_prefer_feel,q_baseline_decision_style_001,1,1,I take my time and prefer to feel certain before deciding.,3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_decision_style_001_unsure_or_none_fit,q_baseline_decision_style_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_learning_style_001_understand_new_ideas_quickly,q_baseline_learning_style_001,1,1,"I understand new ideas quickly, especially when they are interesting.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_learning_style_001_learn_best_through_logic,q_baseline_learning_style_001,1,1,"I learn best through logic, structure, and clear explanations.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_learning_style_001_take_longer_learn_but,q_baseline_learning_style_001,1,1,"I may take longer to learn, but the knowledge becomes deeply established.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_learning_style_001_unsure_or_none_fit,q_baseline_learning_style_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_long_term_memory_001_learn_quickly_but_forget,q_baseline_long_term_memory_001,1,1,I learn quickly but may forget details just as quickly.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_long_term_memory_001_remember_information_useful_important,q_baseline_long_term_memory_001,1,1,"I remember information that is useful, important, or connected to a goal.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_long_term_memory_001_once_learn_something_thoroughly,q_baseline_long_term_memory_001,1,1,"Once I learn something thoroughly, I tend to remember it for a long time.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_long_term_memory_001_unsure_or_none_fit,q_baseline_long_term_memory_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_physical_endurance_001_start_energetically_but_stamina,q_baseline_physical_endurance_001,1,1,"I can start energetically, but my stamina varies.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_physical_endurance_001_sustain_intense_effort_especially,q_baseline_physical_endurance_001,1,1,"I can sustain intense effort, especially when motivated by a challenge.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_physical_endurance_001_warm_up_slowly_but,q_baseline_physical_endurance_001,1,1,"I warm up slowly, but I can continue steadily for a long time.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_physical_endurance_001_unsure_or_none_fit,q_baseline_physical_endurance_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_body_frame_001_naturally_light_narrow_fine,q_baseline_body_frame_001,1,1,"Naturally light, narrow, or fine-boned.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_body_frame_001_naturally_medium_proportionate_moderately,q_baseline_body_frame_001,1,1,"Naturally medium, proportionate, or moderately muscular.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_body_frame_001_naturally_broad_solid_substantial,q_baseline_body_frame_001,1,1,"Naturally broad, solid, or substantial.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_body_frame_001_unsure_or_changed,q_baseline_body_frame_001,1,1,Not sure or my body has changed too much to tell.,4,not_sure,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_weight_tendency_001_lose_weight_easily_difficulty,q_baseline_weight_tendency_001,1,1,I tend to lose weight easily or have difficulty maintaining it.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_weight_tendency_001_weight_responds_fairly_quickly,q_baseline_weight_tendency_001,1,1,My weight responds fairly quickly to changes in eating and activity.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_weight_tendency_001_gain_weight_easily_lose,q_baseline_weight_tendency_001,1,1,I tend to gain weight easily and lose it gradually.,3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_weight_tendency_001_unsure_or_changed,q_baseline_weight_tendency_001,1,1,Not sure or major changes make this difficult to answer.,4,not_sure,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_skin_tendency_001_dry_thin_cool_rough,q_baseline_skin_tendency_001,1,1,"It tends to be dry, thin, cool, or rough.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_skin_tendency_001_warm_sensitive_flushed_easily,q_baseline_skin_tendency_001,1,1,"It tends to be warm, sensitive, flushed, or easily irritated.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_skin_tendency_001_soft_smooth_thicker_naturally,q_baseline_skin_tendency_001,1,1,"It tends to be soft, smooth, thicker, or naturally moist.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_skin_tendency_001_unsure_or_none_fit,q_baseline_skin_tendency_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_temperature_tolerance_001_cold_windy_dry_conditions,q_baseline_temperature_tolerance_001,1,1,"Cold, windy, or dry conditions.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_temperature_tolerance_001_hot_weather_strong_direct,q_baseline_temperature_tolerance_001,1,1,Hot weather or strong direct sun.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_temperature_tolerance_001_cold_damp_heavy_weather,q_baseline_temperature_tolerance_001,1,1,"Cold, damp, or heavy weather.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_temperature_tolerance_001_unsure_or_none_fit,q_baseline_temperature_tolerance_001,1,1,Not sure or none affects me consistently.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_sweating_tendency_001_little_irregularly,q_baseline_sweating_tendency_001,1,1,Usually little or irregularly.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_sweating_tendency_001_easily_noticeably,q_baseline_sweating_tendency_001,1,1,Easily and often noticeably.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_sweating_tendency_001_moderately_some_moisture_clamminess,q_baseline_sweating_tendency_001,1,1,"Moderately, often with some moisture or clamminess.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_sweating_tendency_001_unsure,q_baseline_sweating_tendency_001,1,1,Not sure.,4,not_sure,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_appetite_001_variable_very_hungry_at,q_baseline_appetite_001,1,1,It is variable; I may be very hungry at one meal and uninterested at another.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_appetite_001_strong_arrives_predictably,q_baseline_appetite_001,1,1,It is strong and arrives predictably.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_appetite_001_steady_but_not_urgent,q_baseline_appetite_001,1,1,"It is steady but not urgent, and I can comfortably wait to eat.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_appetite_001_unsure_or_none_fit,q_baseline_appetite_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_delayed_meals_001_forget_about_eating_then,q_baseline_delayed_meals_001,1,1,"I may forget about eating, then suddenly feel depleted, shaky, or unsettled.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_delayed_meals_001_become_intensely_hungry_impatient,q_baseline_delayed_meals_001,1,1,"I become intensely hungry, impatient, or irritable.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_delayed_meals_001_notice_hunger_but_wait,q_baseline_delayed_meals_001,1,1,I notice the hunger but can usually wait without much difficulty.,3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_delayed_meals_001_unsure_or_none_fit,q_baseline_delayed_meals_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_digestion_001_unpredictable_digestion_gas_bloating,q_baseline_digestion_001,1,1,"Unpredictable digestion, often with gas, bloating, or irregular comfort.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_digestion_001_fast_intense_digestion_sometimes,q_baseline_digestion_001,1,1,"Fast or intense digestion, sometimes with heat or burning discomfort.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_digestion_001_slow_heavy_digestion_especially,q_baseline_digestion_001,1,1,"Slow or heavy digestion, especially after a large meal.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_digestion_001_unsure_or_none_fit,q_baseline_digestion_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_bowel_pattern_001_irregular_timing_tendency_toward,q_baseline_bowel_pattern_001,1,1,"Irregular timing, with a tendency toward dryness or difficulty.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_bowel_pattern_001_frequent_urgent_movements_tendency,q_baseline_bowel_pattern_001,1,1,"Frequent or urgent movements, with a tendency toward looseness.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_bowel_pattern_001_regular_but_slower_movements,q_baseline_bowel_pattern_001,1,1,"Regular but slower movements, sometimes with a sense of heaviness.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_bowel_pattern_001_unsure_or_prefer_not,q_baseline_bowel_pattern_001,1,1,Not sure or prefer not to answer.,4,prefer_not,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_sleep_pattern_001_light_easily_interrupted_amount,q_baseline_sleep_pattern_001,1,1,"Light or easily interrupted, and the amount I sleep may vary.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_sleep_pattern_001_moderate_fairly_regular_though,q_baseline_sleep_pattern_001,1,1,"Moderate and fairly regular, though heat or mental activity may disturb it.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_sleep_pattern_001_deep_long_find_difficult,q_baseline_sleep_pattern_001,1,1,"Deep and long, and I may find it difficult to wake.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_sleep_pattern_001_unsure_or_none_fit,q_baseline_sleep_pattern_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_speaking_style_001_fast_animated_sometimes_changing,q_baseline_speaking_style_001,1,1,"Fast, animated, and sometimes changing direction quickly.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_speaking_style_001_clear_direct_precise_sometimes,q_baseline_speaking_style_001,1,1,"Clear, direct, precise, and sometimes forceful.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_speaking_style_001_calm_measured_sometimes_slow,q_baseline_speaking_style_001,1,1,"Calm, measured, and sometimes slow to respond.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_speaking_style_001_unsure_or_none_fit,q_baseline_speaking_style_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_stress_response_001_become_worried_scattered_uncertain,q_baseline_stress_response_001,1,1,"I become worried, scattered, uncertain, or restless.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_stress_response_001_become_impatient_critical_frustrated,q_baseline_stress_response_001,1,1,"I become impatient, critical, frustrated, or intensely focused.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_stress_response_001_withdraw_resist_change_hold,q_baseline_stress_response_001,1,1,"I withdraw, resist change, hold onto the issue, or lose motivation.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_baseline_stress_response_001_unsure_or_none_fit,q_baseline_stress_response_001,1,1,Not sure or none of these fit.,4,none_fit,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_sleep_001_light_interrupted_irregular_difficult,q_current_sleep_001,1,1,"Light, interrupted, irregular, or difficult to settle into.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_sleep_001_shortened_disturbed_by_feeling,q_current_sleep_001,1,1,"Shortened or disturbed by feeling warm, mentally active, or driven.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_sleep_001_heavy_prolonged_difficulty_waking,q_current_sleep_001,1,1,"Heavy or prolonged, with difficulty waking or getting started.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_sleep_001_comfortable_close_normal_sleep,q_current_sleep_001,1,1,Comfortable and close to my normal sleep.,4,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_sleep_001_unsure,q_current_sleep_001,1,1,Not sure.,5,not_sure,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_appetite_001_more_irregular_unpredictable_than,q_current_appetite_001,1,1,More irregular or unpredictable than usual.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_appetite_001_more_intense_urgent_than,q_current_appetite_001,1,1,More intense or urgent than usual.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_appetite_001_weaker_slower_less_interested,q_current_appetite_001,1,1,"Weaker, slower, or less interested than usual.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_appetite_001_close_usual_pattern,q_current_appetite_001,1,1,Close to my usual pattern.,4,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_appetite_001_unsure,q_current_appetite_001,1,1,Not sure.,5,not_sure,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_digestion_001_gas_bloating_irregularity_dryness,q_current_digestion_001,1,1,"Gas, bloating, irregularity, or dryness.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_digestion_001_heat_burning_discomfort_urgency,q_current_digestion_001,1,1,"Heat, burning discomfort, urgency, or looseness.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_digestion_001_heaviness_sluggishness_feeling_full,q_current_digestion_001,1,1,"Heaviness, sluggishness, or feeling full for a long time.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_digestion_001_digestion_felt_comfortable_close,q_current_digestion_001,1,1,Digestion has felt comfortable and close to normal.,4,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_digestion_001_unsure_or_prefer_not,q_current_digestion_001,1,1,Not sure or prefer not to answer.,5,prefer_not,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_energy_001_scattered_inconsistent_depleted_difficult,q_current_energy_001,1,1,"Scattered, inconsistent, depleted, or difficult to sustain.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_energy_001_intense_driven_restless_difficult,q_current_energy_001,1,1,"Intense, driven, restless, or difficult to switch off.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_energy_001_heavy_slow_sleepy_difficult,q_current_energy_001,1,1,"Heavy, slow, sleepy, or difficult to activate.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_energy_001_stable_close_normal_energy,q_current_energy_001,1,1,Stable and close to my normal energy.,4,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_energy_001_unsure,q_current_energy_001,1,1,Not sure.,5,not_sure,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_stress_response_001_worry_uncertainty_restlessness_feeling,q_current_stress_response_001,1,1,"Worry, uncertainty, restlessness, or feeling scattered.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_stress_response_001_irritation_impatience_frustration_feeling,q_current_stress_response_001,1,1,"Irritation, impatience, frustration, or feeling overly driven.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_stress_response_001_withdrawal_heaviness_resistance_low,q_current_stress_response_001,1,1,"Withdrawal, heaviness, resistance, or low motivation.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_stress_response_001_response_felt_manageable_close,q_current_stress_response_001,1,1,My response has felt manageable and close to normal.,4,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_stress_response_001_unsure_or_prefer_not,q_current_stress_response_001,1,1,Not sure or prefer not to answer.,5,prefer_not,true,draft,Combined fallback wording retained from the review draft; expert review required.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_routine_001_unpredictable_disrupted_constantly_changing,q_current_routine_001,1,1,"Unpredictable, disrupted, or constantly changing.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_routine_001_overly_scheduled_demanding_focused,q_current_routine_001,1,1,"Overly scheduled, demanding, or focused on productivity.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_routine_001_inactive_repetitive_difficult_get,q_current_routine_001,1,1,"Inactive, repetitive, or difficult to get moving within.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_routine_001_consistent_supportive,q_current_routine_001,1,1,Consistent and supportive.,4,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_routine_001_unsure,q_current_routine_001,1,1,Not sure.,5,not_sure,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_body_qualities_001_dryness_coldness_tension_lightness,q_current_body_qualities_001,1,1,"Dryness, coldness, tension, or lightness.",1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_body_qualities_001_heat_redness_sensitivity_sharpness,q_current_body_qualities_001,1,1,"Heat, redness, sensitivity, or sharpness.",2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_body_qualities_001_heaviness_dampness_congestion_sluggishness,q_current_body_qualities_001,1,1,"Heaviness, dampness, congestion, or sluggishness.",3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_body_qualities_001_none_particularly_noticeable,q_current_body_qualities_001,1,1,None of these has been particularly noticeable.,4,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_current_body_qualities_001_unsure,q_current_body_qualities_001,1,1,Not sure.,5,not_sure,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_context_major_change_001_no_major_change,q_context_major_change_001,1,1,No major change.,1,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_context_major_change_001_recent_travel_major_schedule,q_context_major_change_001,1,1,Recent travel or a major schedule change.,2,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_context_major_change_001_significant_stress_major_life,q_context_major_change_001,1,1,Significant stress or a major life event.,3,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_context_major_change_001_recent_illness_injury_medication,q_context_major_change_001,1,1,"Recent illness, injury, medication change, pregnancy, or another physical change.",4,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_context_major_change_001_another_reason,q_context_major_change_001,1,1,Another reason.,5,ordinary,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
a_context_major_change_001_prefer_not,q_context_major_change_001,1,1,Prefer not to answer.,6,prefer_not,true,draft,,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
