question_id,question_version,slug,text,help_text,assessment_type,category,response_type,time_window,expires_after_days,repeat_after_days,skippable,sensitive,randomize_answers,status,expert_reviewer,approved_at,expert_notes,created_at,updated_at
q_baseline_natural_pace_001,1,natural-pace,How would you describe your natural pace when moving through everyday activities?,,baseline,movement_pace,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_energy_pattern_001,1,usual-energy-pattern,Which description best matches your usual energy pattern?,,baseline,energy,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_routine_preference_001,1,routine-preference,What is your natural relationship with routine?,,baseline,routine,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_decision_style_001,1,decision-making-style,How do you generally make everyday decisions?,,baseline,decision_style,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_learning_style_001,1,learning-new-information,"When learning something new, which pattern fits you best?",,baseline,learning,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_long_term_memory_001,1,long-term-memory,How would you describe your memory over time?,,baseline,memory,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_physical_endurance_001,1,physical-endurance,"During physical activity, what is your usual endurance pattern?",,baseline,endurance,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_body_frame_001,1,natural-body-frame,"Before major changes in weight, fitness, illness, or lifestyle, how would you describe your natural body frame?",,baseline,body_frame,single_select,usual_adult_state,,,true,true,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_weight_tendency_001,1,weight-tendency,"Throughout most of your adult life, what has been your natural tendency with weight?",,baseline,weight_tendency,single_select,usual_adult_state,,,true,true,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_skin_tendency_001,1,skin-tendency,"When your skin is in its usual state, which description fits best?",,baseline,skin,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_temperature_tolerance_001,1,temperature-tolerance,Which type of weather or temperature is naturally hardest for you?,,baseline,temperature_tolerance,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_sweating_tendency_001,1,sweating-tendency,"Under similar levels of heat or activity, how much do you naturally tend to sweat?",,baseline,sweating,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_appetite_001,1,usual-appetite,"When you are generally well, how would you describe your appetite?",,baseline,appetite,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_delayed_meals_001,1,delayed-meals,What usually happens when a meal is delayed?,,baseline,delayed_meals,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_digestion_001,1,usual-digestion,"When eating foods that normally agree with you, which digestive pattern is most typical?",,baseline,digestion,single_select,usual_adult_state,,,true,true,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_bowel_pattern_001,1,usual-bowel-pattern,"When your digestion is in its usual state, which pattern fits best?",,baseline,bowel_pattern,single_select,usual_adult_state,,,true,true,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_sleep_pattern_001,1,natural-sleep-pattern,"When life is relatively stable, what is your natural sleep pattern?",,baseline,sleep,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_speaking_style_001,1,natural-speaking-style,How would you describe your natural speaking style?,,baseline,speaking_style,single_select,usual_adult_state,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_baseline_stress_response_001,1,response-to-pressure,"When under ordinary stress, which response is most typical for you?",,baseline,stress_response,single_select,usual_adult_state,,,true,true,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_current_sleep_001,1,recent-sleep,"During the past seven days, how has your sleep been?",,current,sleep,single_select,past_7_days,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_current_appetite_001,1,recent-appetite,"During the past seven days, how has your appetite compared with your usual pattern?",,current,appetite,single_select,past_7_days,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_current_digestion_001,1,recent-digestion,"During the past seven days, which digestive pattern has been most noticeable?",,current,digestion,single_select,past_7_days,,,true,true,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_current_energy_001,1,recent-energy,"During the past seven days, how has your energy felt?",,current,energy,single_select,past_7_days,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_current_stress_response_001,1,recent-response-to-stress,"During the past seven days, what has been your most common response to pressure?",,current,stress_response,single_select,past_7_days,,,true,true,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_current_routine_001,1,recent-routine,"During the past seven days, how has your daily routine felt?",,current,routine,single_select,past_7_days,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_current_body_qualities_001,1,recent-body-qualities,"During the past seven days, which group of physical qualities has been most noticeable?",,current,body_qualities,single_select,past_7_days,,,true,false,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
q_context_major_change_001,1,changes-from-usual-state,"Is there anything currently making your body, habits, or energy substantially different from your usual state?",,context,major_change,single_select,current_context,,,true,true,false,draft,,,Transferred from initial-question-bank.md; wording and metadata pending expert review.,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z
